"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Ghana","GHA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","615057","501598","586280","531871","546508","","495623","453927","375416","282802","279786","","143078","","","","","","33801","69192","8783","",
"Gibraltar","GIB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","445","484","","508","461","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","339313","343910","357944","375287","384553","397340","412371","416466","","","","","","","432812","429499","416957","402905","366781","350533","334664","324384","311432","301297","316704","313173","306176","269899","280701","272119","245629","","283090","","","","",
"Gambia, The","GMB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","30416","31345","32127","33122","33959","34705","33733","32930","33097","32563","30396","29676","28938","28329","28181","29198","","","","","","44670","44160","","","42988","","45001","37495","41532","42236","46423","41977","41276","44008","38669","36674","42196","","43864","44991","40820","42296","42828","33606","31082","27476","25341","18319","",
"Guinea-Bissau","GNB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","40734","39269","","42627","43921","","50200","52794","","","","","","","","","","","","59060","","","","","","","","","","34371","","","","","","","","","","",
"Equatorial Guinea","GNQ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12162","","","","","","14599","11777","13209","13697","","","","","29625","31484","33189","33818","34362","","","40811","","","","","",
"Greece","GRC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","35369","32337","26621","19186","16895","15079","17309","20723","26144","34921","27030","26727","22809","23254","24090","28335","39115","35476","37810","39541","39631","44831","50810","50556","38540","39507","34337","8754","6112","2299","6936","8496","9531","13240","16237","17337","16624","","","12672","11869","9630","8879","10887","8100","5398","3773","3856","","",
"Grenada","GRD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","1843","","","","","197","","","479","768","1012","994","764","","","","","","","","","","","","","","","","","","","","","182","","","","","","","","","","","","","","","",
"Greenland","GRL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","261893","263501","266688","","273224","275657","","","287841","","","283586","305458","295625","","","","","","","","","","","","","","287433","","182725","161092","175089","144303","","101262","85342","68606","56736","57001","","","47044","82705","110081","132424","135842","142679","130208","117083","118734","",
"Guam","GUM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","8340","7533","","5478","","8081","5231","","7291","","","7002","","","","","","","","","4703","5960","6639","","5681","6338","","","","","","","4372","","","","","1181","4405","2547","","","","","","","","","","",
"High income","HIC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","4390792","4129337","3937137","3819480","3744856","2925822","2936675","2716586","2904569","3060833","3019908","2735897","2387895","2201793","2074356","2093113","2182312","2337860","2352750","2326726","2176084","2150959","2239213","1530463","1454612","1452423","1285774","1516999","1421835","1295413","1003369","888350","791781","751324","759551","781634","852518","796474","814271","723388","638537","514728","572574","610935","618091","",
"Hong Kong SAR, China","HKG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","37691","33933","33222","28111","21832","15687","11387","11764","10503","1552","2640","3026","3544","5372","8351","","","","","","","","","","11654","13401","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","75102","75998","","47506","41745","38691","","37593","","","","","56938","","53747","","","","","","","70949","","","51596","45964","74736","55027","90573","71440","79268","71625","71861","91963","109704","115585","117216","108883","99997","","83414","",
"Heavily indebted poor countries (HIPC)","HPC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","12700000","12800000","13000000","12900000","12800000","12700000","12700000","12700000","12600000","12600000","13100000","13300000","13700000","14100000","14400000","15100000","15500000","16300000","17200000","17200000","18000000","18600000","18900000","19000000","19500000","19000000","19400000","19700000","19400000","18800000","17800000","17000000","16100000","15400000","14500000","13900000","12700000","12600000","13000000","12600000","12100000","11800000","11600000","12000000","11800000","11800000","11900000","11800000","",
"Croatia","HRV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17909","8100","6445","2775","","","","","","","1234","7463","3419","1320","","","","","","","","","",
"Haiti","HTI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","262652","248224","233104","255840","244516","240128","287753","","","","","","","","","","274850","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55106","33591","4573","4387","7518","5664","4580","7357","7800","6250","4630","6210","4002","2644","2814","4236","5242","5930","5612","5384","4349","5183","8558","","",
"IBRD only","IBD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","47500000","49200000","48900000","44500000","43500000","41600000","41800000","44500000","50600000","51700000","50200000","48200000","47100000","45900000","44100000","40200000","35700000","33700000","31900000","29200000","28900000","28900000","29800000","29200000","29100000","30700000","30500000","31300000","28900000","24700000","22400000","20900000","20000000","14000000","12600000","11200000","10400000","7805386","6634614","6755925","6355960","6378006","6382079","6103704","6423382","6449500","6758831","6526868","6887406","7052557","",
"IDA & IBRD total","IBT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","73500000","76200000","75700000","70700000","70000000","67700000","67700000","70300000","76400000","76900000","75100000","72600000","71800000","71100000","69800000","67000000","63800000","63000000","61300000","59600000","60300000","60300000","61800000","61800000","62100000","64400000","65600000","65700000","63400000","59200000","55800000","53500000","51400000","43600000","40600000","38000000","36700000","32800000","31400000","31100000","30800000","30100000","29800000","29200000","29300000","30500000","30400000","30300000","30800000","30900000","",
"IDA total","IDA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","26800000","26200000","26500000","26100000","25900000","25800000","25800000","25300000","24900000","24500000","24800000","25200000","25800000","26900000","28200000","29300000","29400000","30500000","31500000","31500000","32100000","32600000","33000000","33800000","35100000","34400000","34500000","34600000","33400000","32600000","31400000","29600000","28000000","26700000","26300000","25000000","24800000","24300000","24500000","23800000","23500000","23100000","22900000","24100000","23600000","23800000","24000000","23900000","",
"IDA blend","IDB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11700000","11500000","11100000","11000000","11300000","10600000","9974460","9675679","10300000","9667982","10500000","10300000","10300000","10300000","10400000","10100000","10000000","10700000","10500000","10700000","10800000","10800000","",
"Indonesia","IDN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","3159282","3143562","","3563307","3161883","2910305","","2075334","","","1664882","","","","","","428882","","482930","681490","797785","942065","1093031","1053103","1097050","1153082","1155963","","","","587215","643984","760439","869358","1075765","907992","643154","643027","568157","328856","169749","493411","801403","1010434","","1170613","973920","1073003","","",
"IDA only","IDX","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","18400000","19300000","19000000","18300000","18700000","18200000","17900000","17900000","17900000","17900000","17700000","17600000","18200000","18500000","18800000","19400000","19800000","20500000","20000000","20600000","21400000","21200000","21800000","22300000","22400000","22600000","23000000","22500000","22800000","23100000","22300000","21600000","20100000","19000000","18000000","17100000","16000000","15300000","14300000","14000000","14200000","13500000","13100000","13000000","12900000","13400000","13100000","13100000","13100000","13000000","",
"Isle of Man","IMN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","18205184","","","","","","","","","","","","","","","","","","","17528824","","","","","","","","","","13084129","12716535","12555727","7100914","","","","2020305","1189120","1660706","1504393","1541334","1250998","862219","","","","","","","",
"Not classified","INX","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","2727","4454","4053","6157","6290","6581","7003","6957","8487","10909","14701","19388","22843","","","25244","23920","21911","20539","19475","20816","22651","22990","22229","20873","18450","","","213","","17","","","","","","","","","","","","","","","","","","","",
"Iran, Islamic Rep.","IRN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","736379","736459","720725","743917","723763","719636","537343","","372651","","","","","477932","","693141","620341","","190596","205984","138986","194384","169956","147115","","72094","99884","97115","66580","","","","","","","","",
"Iraq","IRQ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","492100","507398","518645","527650","530232","490797","474690","455250","214631","139800","133482","","192639","","235863","230935","216621","192736","233502","","","","398242","","","474120","","","296418","320777","","","","266535","","","284761","","","","","","","","","","","","","",
"Iceland","ISL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","388","","226","165","117","","","","","418","707","672","476","225","57","","60","149","227","322","331","206","83","","","","",
"Israel","ISR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","18496","","","9923","","","","","","15299","","","","","","","","","","","29635","12533","","","","","","","","","","","","","","","","3212","13312","21264","29659","37168","45651","","",
"Jamaica","JAM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","6826","11563","10082","","3304","2645","3959","","1702","3735","5203","4893","4042","7971","1929","3830","6570","","13938","","","","","","14148","11828","11778","12430","14397","11484","","","","","","","","","","","11347","17858","18881","20612","23055","",
"Jordan","JOR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","27917","20826","","","","","9598","9555","17604","21362","23300","28499","29868","25803","","","","","","","","","","","","","","31837","29180","","23513","18333","16507","22221","28915","41729","57265","","97823","116596","140392","149467","","","156042","137657","135554","133650","",
"Japan","JPN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28115","","353","","","","2202","5132","","","","","","","","","","","","","",
"Kenya","KEN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020381","937803","742355","916519","489850","560930","562811","611684","335695","451635","397818","","","620422","","","","","","","","",
"Kyrgyz Republic","KGZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21933","","","13247","15365","14100","14347","14226","2398","8286","5899","7648","8496","9152","8074","8273","3743","","","","","","","","",
"Cambodia","KHM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241608","221778","191402","126038","","","","","","55951","57223","65546","","66232","","","","51484","28714","65975","90079","91265","92811","",
"Kiribati","KIR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","59","80","297","","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","670","466","","","","","","","","","","","","","","","","","","","","","","166","","","","","","","","","","","","",
"Korea, Rep.","KOR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","156893","102598","119339","124407","104931","76089","94383","81412","35977","","","","","16256","27303","33832","6980","","","","","","","","","","","","","1629","28933","38019","26201","29175","","","","","3745","","","24441","58717","52945","18519","35711","32711","12519","","",
"Kuwait","KWT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","18196","17382","17248","18612","19425","19430","17417","14692","16572","16025","15397","14660","12448","11661","12162","13100","18044","20298","","","","51841","","25542","","9999","10758","","5674","5212","2833","825","","","4652","","","","","","","","","","","1146","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","3374254","3413098","3389960","3293635","3214493","3218896","3106119","2936079","2847155","2503553","2423308","2182199","2151414","2159044","2213345","2132876","2219496","2212646","2311332","2552857","2441871","2369848","2255554","2255240","2476003","2546211","2409847","2319334","1671968","1253756","1088169","1108946","1245372","1017913","997447","667611","599339","546100","629881","559260","657226","705557","700951","739516","814076","789049","769312","724856","679703","661579","",
"Lao PDR","LAO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138251","129421","122859","","121507","115905","107653","107027","106309","109797","107159","97508","92382","85569","78642","66927","55770","44641","27246","25916","25826","18398","16658","21968","26229","30978","35174","35058","",
"Lebanon","LBN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115563","","","","","","","","","160123","","","","","","26071","","","77218","","","",
"Libya","LBY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","61692","47004","","","","","","24830","","","17178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","352","263","","","","","","","","476","","","","","","","","","","1259","1268","","","737","877","634","679","","","","","","","","","163","48","18","","",
"Latin America & Caribbean","LCN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","3434238","3461714","3438028","3338078","3264748","3266863","3147009","2974519","2885551","2551734","2485105","2227351","2216839","2243875","2329041","2246431","2349183","2350984","2459334","2689701","2566118","2494340","2399494","2396812","2622049","2693792","2555718","2737832","1781967","1350759","1190928","1219417","1361398","1141774","1071222","737282","658536","593463","676080","620313","703871","760988","758300","806397","889525","864687","855282","805565","753217","733986","",
"Least developed countries: UN classification","LDC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","17500000","18400000","18100000","17500000","17800000","17200000","16900000","17000000","17000000","16900000","16700000","16700000","17300000","17700000","17900000","18600000","18900000","19600000","19100000","19700000","20500000","20300000","20900000","21400000","21500000","21700000","22000000","21500000","21900000","22100000","21400000","20700000","19300000","18100000","17100000","16200000","15100000","14600000","13500000","13300000","13600000","13200000","12900000","12600000","12500000","13200000","13200000","13300000","13400000","13500000","",
"Low income","LIC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","10700000","10800000","11000000","10900000","10900000","10900000","11100000","11200000","11100000","11000000","11500000","11600000","11800000","12100000","12300000","12800000","13100000","13800000","14500000","14500000","15200000","15700000","15800000","15900000","16300000","15800000","16100000","16300000","16200000","15900000","15400000","14800000","14200000","13600000","12900000","12600000","11500000","11300000","11700000","11300000","11000000","10800000","10800000","11300000","11200000","11200000","11100000","11300000","",
"Liechtenstein","LIE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","","","","",
"Sri Lanka","LKA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2259","","22451","28912","33159","41589","62725","51271","52086","50130","39053","30287","","","","","","",
"Lower middle income","LMC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","37500000","38700000","38500000","37100000","37800000","37200000","37200000","36200000","38100000","38000000","37400000","36500000","36400000","36100000","36000000","37000000","37000000","39000000","38100000","37000000","38000000","38200000","38400000","37000000","35900000","36700000","36600000","36500000","37100000","35900000","32900000","31800000","30900000","24300000","22000000","20100000","19100000","16600000","16200000","16200000","15600000","15400000","15000000","14400000","14500000","15100000","15000000","15000000","15500000","15300000","",
"Low & middle income","LMY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","73400000","76100000","75600000","70600000","69900000","67500000","67500000","70100000","76200000","76700000","74900000","72500000","71700000","70900000","69600000","66800000","63600000","62800000","61100000","59300000","60000000","60000000","61500000","61500000","61800000","64100000","65300000","65200000","63300000","59100000","55700000","53400000","51300000","43400000","40500000","37900000","36600000","32700000","31400000","31000000","30800000","30100000","29800000","29100000","29300000","30500000","30400000","30300000","30800000","30900000","",
"Lesotho","LSO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","28506","","34049","35234","26686","","27861","27673","38301","37903","39971","42171","38255","40949","41195","39532","42211","41995","42593","45830","49137","48402","49637","55253","54977","59220","58189","","73738","80023","42140","38186","33089","27460","26719","22969","18968","22061","18909","17451","15100","15380","14832","12897","12767","10829","7097","3109","","","",
"Late-demographic dividend","LTE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","12200000","8868768","7766300","6825663","6171258","6238253","6499850","6971928","7919283","8978995","9757300","10400000","7766786","4970717","4520228","4212500","4000104","3282948","3191529","2826943","3276968","2530398","2346425","2261111","2384086","2371015","2258993","2105801","2113568","2062785","2056975","2027641","1852733","1984862","",
"Lithuania","LTU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4175","","","","","155","","","","","","","","","","","","","","","","","",
"Luxembourg","LUX","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","1260","1393","1143","1280","1315","1276","1330","","","2823","1931","2095","2172","","2110","2477","1683","","","","","","","","","","","149","281","373","356","643","529","225","130","127","241","","611","671","571","516","495","175","","","","","",
"Latvia","LVA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","449","429","391","712","893","921","982","814","667","401","","",
"Macao SAR, China","MAC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1315","","2618","","","","","","","2077","2322","2838","2794","2670","2579","2416","2225","1970","1900","1906","1814","1614","1430","1229","828","538","255","309","456","245","",
"St. Martin (French part)","MAF","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","887338","857051","834895","808572","788090","763826","734521","728964","704985","686360","711003","743930","778112","810853","851104","852260","1033568","1037874","1010199","960436","900367","842301","795075","765224","579272","489457","418155","342534","302788","298839","274579","242617","206496","190771","192446","131216","109009","118850","93749","104023","","81149","46615","","","",
"Monaco","MCO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9634","6466","4693","1616","1775","4576","6508","7452","6882","6847","6288","6093","5851","5680","5779","6429","6455","6925","6601","8426","",
"Madagascar","MDG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","208068","","","","","","","","","","","","","","","","","279051","293512","","","","","392373","408512","","","365765","358081","356457","363907","263263","","","","","","","","","","","","","","","","","",
"Maldives","MDV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1363","","731","475","","30","","","","","","","","","","","","","","418","710","397","174","",
"Middle East & North Africa","MEA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","5789283","5972541","5614418","5579273","5613590","5331363","5133060","5023753","4961119","5243120","4919622","5104700","4972299","4955031","4867905","4883390","4813547","4756159","4691548","4811000","4418985","4377637","5086015","5066466","4661920","5036459","4488279","4523336","4483329","4256588","3919660","3404492","2898072","2639572","2453216","2477517","2476250","2110911","1931030","1750224","1472950","1432645","1282475","1491758","1591855","1558127","1578056","1551720","1522369","1538295","",
"Mexico","MEX","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","876504","","","","","","","","","","","","","","","","","","","","","","","","","","280750","238331","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","324","","","","1115","1036","","","1189","",
"Middle income","MIC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","63100000","65600000","64900000","59800000","58900000","56600000","56600000","59200000","65100000","65500000","63800000","61400000","60200000","59300000","57800000","54700000","51400000","49900000","48000000","45500000","45500000","45600000","46300000","45800000","46000000","48300000","49100000","49400000","47200000","42700000","39500000","37400000","35800000","28600000","26300000","24300000","23700000","20200000","19900000","19600000","19100000","18800000","18800000","18300000","18500000","19200000","19200000","19100000","19700000","19600000","",
"North Macedonia","MKD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6434","6531","2027","2695","2924","3835","3671","3690","4702","4363","5749","4862","2744","","5468","5712","5005","2927","","403","428","","",
"Mali","MLI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","374392","","","","","","","","","","","","","","","","","","","","","","","","","","","","531695","","","504973","521502","516231","502458","498932","489999","","445219","444728","444190","485689","","563751","624734","632084","566837","711827","","",
"Malta","MLT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","3282","3533","3587","3211","2676","1885","1004","659","497","912","1244","1031","1536","1268","691","651","847","795","678","603","695","801","785","949","862","386","141","","","","","","","","","","","","","","","","","","","","","","","",
"Myanmar","MMR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","819031","","742266","908979","","","","870687","","","","","","","","","","","","","","","","","","","","","","280210","249973","287858","242725","280749","281539","303115","141530","271761","309155","300852","","","","","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","5385764","5551054","5182354","5132283","5147656","4848778","4633296","4507541","4424834","4677816","4340278","4504866","4358067","4326745","4230797","4236775","4166001","4096586","4019933","4124218","3718905","3649261","4351962","4346589","3961063","4362501","3849255","3916119","3917100","3719846","3408646","2922565","2447549","2217942","2067713","2126316","2176108","1869137","1736904","1599266","1413053","1375276","1267417","1437703","1533634","1539634","1531213","1481990","1437561","","",
"Montenegro","MNE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","302","","196","181","503","531","","","","237","","","713","1180","507","","","",
"Mongolia","MNG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16426","13844","17342","12692","10848","7834","5545","6812","15079","7656","8772","2248","805","","","","","1748","5395","5446","4024","","","","","",
"Northern Mariana Islands","MNP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","502342","","","","","","407307","","436383","450772","370784","","362163","376175","501959","","558603","","590638","618971","648504","655153","645093","","","904565","864927","820531","765855","840950","","649157","565905","501632","412209","350538","328009","309634","366644","370938","351530","336489","305669","313674","335103","219096","110861","",
"Mauritania","MRT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106037","97440","91507","","84898","85886","86316","80374","80232","73532","57435","60700","56098","54204","63333","67539","67901","66863","70409","66444","61871","","75256","61573","60060","70645","",
"Mauritius","MUS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","16974","16423","15710","14638","14305","11905","13408","15285","14806","12073","7979","5781","3358","","842","","","","1332","3993","","3883","3424","2872","1710","1207","","","","","","","692","81","","","","113","","","1789","491","","","","","","","",
"Malawi","MWI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26603","","","","","","","","","","","","","",
"Malaysia","MYS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","158131","153783","146328","","","","","","","","","","","","","","","","","","","","","","34368","","","","65224","55164","22149","32291","51873","44547","8637","4462","50760","62555","75684","42115","56973","37066","16774","","2807","","","","","","",
"North America","NAC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","746698","597302","418630","320628","230868","128055","137849","248273","386338","428342","364377","471187","390640","307301","245729","293194","143850","328917","268990","219940","70138","24488","34057","81498","138025","293032","390908","366611","333931","213026","236738","52688","60551","79336","80500","",
"Namibia","NAM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27052","27593","","25689","","","","","","18794","17239","14648","11687","7760","7427","11468","11208","17036","11555","12767","11604","10189","","4258","","","","","","","","",
"New Caledonia","NCL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","363673","372911","","","","","","","","","","","","465705","","","518597","534489","546566","574537","","","","","644701","660532","670081","687293","685094","685536","682634","683994","709544","724546","741066","727953","713837","693060","657520","657312","687960","711780","718427","728586","701725","","886775","",
"Nigeria","NGA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3985312","3789342","","","","3864750","3896022","3878533","4075093","4874836","4871064","4969385","","","","","","","","","","",
"Nicaragua","NIC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","94734","","97936","","","","","","","93979","","104939","106555","115886","102052","108826","107028","108256","118093","114555","109061","96669","95566","92943","99192","","","","65210","53066","38484","12688","","","","5408","5961","3218","","8956","","","","","","","","","","",
