"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahamas, The","BHS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1939","1791","","","","","","1667","","","","","1910","1681","2495","2385","2702","3230","3669","2197","3175","4426","4129","3529","4022","","4082","","",
"Bosnia and Herzegovina","BIH","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43582","","","","","","","","","","","","","","","","","","2692","4717","2580","1999","","4346","","",
"Belize","BLZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166","744","1298","","1093","696","1056","829","907","873","682","372","671","","279","","","","","","","",
"Bermuda","BMU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","716","775","","","","","343","301","","","","","","","","","","","","","","","","","","","","","","","","","","65","200","","","","","","","","",
"Bolivia","BOL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13792","33511","51045","73193","79376","81220","78221","70191","59300","47429","","",
"Brazil","BRA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95884","","261214","","","","","","","","","",
"Barbados","BRB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","2736","2406","2034","","","282","","","","","742","1061","1004","","","","","","27","411","","1334","","","","","","","","298","354","788","790","840","872","586","213","102","227","166","458","","","641","396","151","432","248","","",
"Brunei Darussalam","BRN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","1444","1447","2791","2932","3421","3755","3650","3603","","3215","","","","","1860","1414","794","850","336","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","26574","26722","","","","","","","","","","","","","","","","","","","26967","26600","24949","23411","","","","15987","13395","","9538","6873","5449","4698","3493","3766","","4030","4324","4437","3332","","966",
"Botswana","BWA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","29011","32259","32214","32065","29816","25132","22334","19720","20098","19611","16215","12147","","8288","8138","6431","6799","6563","6293","6309","6382","3579","5074","6317","6671","20746","20471","","16955","18778","17481","15646","15879","15685","16658","13688","13160","15454","17574","19173","","","15889","16398","16996","","","","","","",
